name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,73.35,22.22,0.4,0.85,1.63,1.56
JOHNSON,61.55,33.8,0.42,0.91,1.82,1.5
WILLIAMS,48.52,46.72,0.37,0.78,2.01,1.6
BROWN,60.71,34.54,0.41,0.83,1.86,1.64
JONES,57.69,37.73,0.35,0.94,1.85,1.44
MILLER,85.81,10.41,0.42,0.63,1.31,1.43
DAVIS,64.73,30.77,0.4,0.79,1.73,1.58
GARCIA,6.17,0.49,1.43,0.58,0.51,90.81
RODRIGUEZ,5.52,0.54,0.58,0.24,0.41,92.7
WILSON,69.72,25.32,0.46,1.03,1.74,1.73
MARTINEZ,6.04,0.52,0.6,0.64,0.46,91.72
ANDERSON,77.6,18.06,0.48,0.7,1.59,1.58
TAYLOR,67.8,27.67,0.39,0.75,1.78,1.61
THOMAS,55.53,38.17,1.63,1.01,2,1.66
HERNANDEZ,4.55,0.38,0.65,0.27,0.35,93.81
MOORE,68.85,26.92,0.37,0.65,1.7,1.5
MARTIN,77.47,15.3,0.71,0.94,1.59,3.99
JACKSON,41.93,53.02,0.31,1.04,2.18,1.53
THOMPSON,72.48,22.53,0.44,1.15,1.78,1.62
WHITE,67.91,27.38,0.39,1.01,1.76,1.55
LOPEZ,5.85,0.61,1.04,0.47,0.52,91.51
LEE,40.09,17.41,37.83,1.03,2.3,1.34
GONZALEZ,4.76,0.37,0.38,0.18,0.33,93.99
HARRIS,53.88,41.63,0.36,0.65,2.02,1.45
CLARK,76.84,18.53,0.41,0.94,1.6,1.68
LEWIS,60.97,33.83,0.45,1.14,1.97,1.64
ROBINSON,51.34,44.1,0.37,0.51,1.99,1.68
WALKER,61.25,34.17,0.35,0.83,1.8,1.6
PEREZ,5.95,0.48,1.18,0.26,0.48,91.65
HALL,75.11,20.75,0.48,0.63,1.63,1.4
YOUNG,68.91,23.79,2.95,0.73,1.93,1.69
ALLEN,70.24,25.14,0.41,0.83,1.77,1.62
SANCHEZ,5.77,0.5,1.01,0.49,0.45,91.78
WRIGHT,68.3,27.36,0.4,0.66,1.75,1.52
KING,72.8,22.02,0.88,0.97,1.71,1.62
SCOTT,62.6,32.26,0.41,1.15,1.9,1.68
GREEN,59.33,36.23,0.34,0.61,1.78,1.71
BAKER,82.08,13.63,0.45,0.83,1.54,1.47
ADAMS,76.17,19.2,0.45,0.79,1.63,1.76
NELSON,80.29,14.93,0.51,1.09,1.49,1.68
HILL,66.83,28.42,0.42,0.91,1.78,1.64
RAMIREZ,4.4,0.29,0.97,0.27,0.4,93.67
CAMPBELL,76.47,19.13,0.43,0.65,1.67,1.65
MITCHELL,63.55,31.52,0.39,0.98,1.93,1.63
ROBERTS,79.56,15.86,0.47,0.85,1.67,1.58
CARTER,60.51,34.99,0.39,0.71,1.88,1.52
PHILLIPS,78.95,16.36,0.45,0.99,1.68,1.58
EVANS,70.65,25.05,0.4,0.68,1.67,1.55
TURNER,66.67,29.31,0.33,0.56,1.72,1.4
TORRES,6.05,0.58,1.42,0.26,0.53,91.16
PARKER,71.49,24.09,0.44,0.85,1.67,1.46
COLLINS,73.92,21.7,0.37,0.75,1.65,1.61
EDWARDS,65.16,30.21,0.4,0.75,1.84,1.63
STEWART,71.78,23.83,0.38,0.74,1.69,1.59
FLORES,5.57,0.47,2.15,0.43,0.54,90.84
MORRIS,75.92,19.29,0.43,0.93,1.7,1.73
NGUYEN,1.26,0.18,95.93,0.04,2.01,0.58
MURPHY,85.05,11.03,0.43,0.65,1.29,1.54
RIVERA,5.92,1.06,2.06,0.24,0.55,90.17
COOK,83.52,12.27,0.44,0.86,1.48,1.42
ROGERS,77.8,17.66,0.42,0.77,1.58,1.77
MORGAN,78.47,16.47,0.42,1.15,1.64,1.86
PETERSON,86.29,9.58,0.52,0.7,1.33,1.56
COOPER,70.36,25.26,0.4,0.76,1.69,1.54
REED,73.51,21.97,0.4,1,1.67,1.45
BAILEY,74.77,21.14,0.4,0.61,1.63,1.45
BELL,63.57,31.78,0.41,0.9,1.8,1.55
GOMEZ,6.1,0.81,1.04,0.34,0.54,91.16
KELLY,80.39,15.48,0.49,0.55,1.35,1.73
HOWARD,66.83,28.69,0.38,0.82,1.74,1.55
WARD,77.79,17.77,0.4,0.83,1.57,1.64
COX,84.48,11.55,0.39,0.64,1.42,1.52
DIAZ,6.17,0.73,1.19,0.22,0.47,91.22
RICHARDSON,62.25,32.77,0.36,1.05,1.82,1.75
WOOD,90.06,5.61,0.51,0.82,1.4,1.6
WATSON,68.58,26.85,0.47,0.8,1.72,1.58
BROOKS,62.72,32.67,0.41,0.75,1.83,1.62
BENNETT,79,16.51,0.41,0.89,1.54,1.65
GRAY,71.13,24.36,0.44,0.84,1.66,1.57
JAMES,54.45,38.09,0.81,2.51,2.1,2.04
REYES,5.26,0.75,6.02,0.3,0.76,86.9
CRUZ,5.95,0.83,5.61,0.38,0.99,86.24
HUGHES,80.6,15.45,0.39,0.52,1.46,1.58
PRICE,76.11,19.79,0.42,0.64,1.58,1.46
MYERS,86.59,9.75,0.38,0.53,1.35,1.4
LONG,82.35,11.75,1.78,1.21,1.44,1.47
FOSTER,72,23.19,0.46,0.86,1.78,1.7
SANDERS,63.44,31.9,0.33,0.85,1.73,1.76
ROSS,71.46,23.67,0.46,0.89,1.69,1.82
MORALES,5.6,0.6,1.24,0.25,0.44,91.88
POWELL,69.96,25.97,0.38,0.56,1.71,1.41
SULLIVAN,89.45,6.78,0.46,0.52,1.16,1.63
RUSSELL,79.45,15.79,0.43,1,1.7,1.63
ORTIZ,5.4,0.64,0.68,0.48,0.45,92.35
JENKINS,60.12,35.97,0.33,0.55,1.69,1.34
GUTIERREZ,5.21,0.25,1.4,0.33,0.42,92.39
PERRY,70.71,24.37,0.46,0.82,1.86,1.78
BUTLER,64.75,30.85,0.35,0.81,1.75,1.5
BARNES,67.45,28.23,0.4,0.72,1.71,1.49
FISHER,84.59,11.28,0.42,0.71,1.42,1.58
HENDERSON,62.18,33.2,0.38,0.82,1.81,1.61
COLEMAN,52.04,43.83,0.33,0.5,1.87,1.44
SIMMONS,60.55,35.26,0.35,0.61,1.74,1.5
PATTERSON,70.09,25.66,0.37,0.61,1.67,1.61
JORDAN,64.3,30.06,0.44,0.68,1.67,2.86
REYNOLDS,83.28,12.5,0.42,0.61,1.55,1.65
HAMILTON,72.79,22.65,0.44,0.78,1.73,1.61
GRAHAM,72.84,22.72,0.42,0.77,1.61,1.64
KIM,2.6,0.36,94.52,0.03,1.99,0.5
GONZALES,10,0.86,3.1,0.76,0.84,84.44
ALEXANDER,60.91,33.22,0.91,0.7,2.05,2.21
RAMOS,7.2,0.92,5.04,0.25,1.18,85.42
WALLACE,71.76,23.73,0.43,0.73,1.72,1.64
GRIFFIN,66.46,29.77,0.34,0.5,1.56,1.36
WEST,77.69,17.8,0.39,0.81,1.64,1.66
COLE,77.59,18.2,0.43,0.68,1.61,1.48
HAYES,71.64,24.05,0.38,0.73,1.71,1.48
CHAVEZ,5.65,0.21,0.59,1.15,0.43,91.98
GIBSON,74.57,21.07,0.36,0.85,1.65,1.49
BRYANT,60.97,34.68,0.3,0.89,1.79,1.37
ELLIS,72.82,22.6,0.44,0.66,1.64,1.83
STEVENS,83.4,11.4,0.53,1.23,1.64,1.79
MURRAY,77.59,18.13,0.48,0.6,1.54,1.66
FORD,64.28,31.4,0.37,0.61,1.84,1.51
MARSHALL,68.89,26.35,0.42,0.88,1.82,1.64
OWENS,68.09,27.86,0.31,0.71,1.69,1.35
MCDONALD,79.19,16.26,0.43,0.76,1.51,1.85
HARRISON,71,23.76,0.42,1.35,1.69,1.78
RUIZ,6.12,0.48,1.01,0.28,0.41,91.7
KENNEDY,82.97,12.98,0.46,0.62,1.4,1.57
WELLS,76.31,19.34,0.37,0.8,1.61,1.56
ALVAREZ,6.61,0.64,1.15,0.47,0.47,90.66
WOODS,60.68,34.66,0.35,0.84,1.92,1.55
MENDOZA,4.93,0.38,5.2,0.29,0.64,88.57
CASTILLO,5.62,0.77,3.26,0.75,0.75,88.85
OLSON,96.03,0.36,0.54,0.64,1.04,1.38
WEBB,77.74,18.36,0.38,0.62,1.5,1.41
WASHINGTON,5.16,89.87,0.25,0.64,2.64,1.45
TUCKER,72.06,23.57,0.33,0.74,1.72,1.59
FREEMAN,67.96,27.47,0.37,0.95,1.76,1.49
BURNS,82.18,13.63,0.45,0.71,1.45,1.59
HENRY,65.06,28.76,0.57,1.71,2,1.9
VASQUEZ,5.49,0.5,0.69,0.37,0.49,92.46
SNYDER,95.37,1.28,0.46,0.51,1.11,1.28
SIMPSON,73.29,22.13,0.44,0.78,1.68,1.69
CRAWFORD,71.31,24.47,0.4,0.69,1.69,1.45
JIMENEZ,4.46,0.31,1.53,0.27,0.45,92.98
PORTER,71.19,24.44,0.42,0.75,1.62,1.58
MASON,70.99,24.48,0.42,0.73,1.7,1.68
SHAW,74.67,20.23,1.24,0.73,1.65,1.48
